弟弟,dìdì,em trai,弟弟在玩玩具。,Dìdì zài wán wánjù.,Em trai đang chơi đồ chơi.
第一,dì yī,đầu tiên,他是第一名。,Tā shì dì yī míng.,Anh ấy là người đứng đầu.
懂,dǒng,hiểu,我不懂这个问题。,Wǒ bù dǒng zhège wèntí.,Tôi không hiểu vấn đề này.
对,duì,"đúng, đối với",你对我很好。,Nǐ duì wǒ hěn hǎo.,Bạn đối xử tốt với tôi.
房间,fángjiān,phòng,房间里很安静。,Fángjiān lǐ hěn ānjìng.,Trong phòng rất yên tĩnh.
非常,fēicháng,"rất, cực kỳ",这道菜非常好吃。,Zhè dào cài fēicháng hǎochī.,Món ăn này rất ngon.
服务员,fúwùyuán,nhân viên phục vụ,服务员请帮忙。,Fúwùyuán qǐng bāngmáng.,"Nhân viên phục vụ, xin giúp đỡ."
高,gāo,cao,他很高。,Tā hěn gāo.,Anh ấy rất cao.
告诉,gàosù,"nói cho, thông báo",请告诉我答案。,Qǐng gàosù wǒ dá'àn.,Xin cho tôi biết đáp án.
哥哥,gēge,anh trai,哥哥在家里。,Gēge zài jiālǐ.,Anh trai đang ở nhà.
给,gěi,"đưa cho, cho",请给我一本书。,Qǐng gěi wǒ yī běn shū.,Xin hãy đưa cho tôi một cuốn sách.
公共汽车,gōnggòng qìchē,xe buýt,公共汽车很方便。,Gōnggòng qìchē hěn fāngbiàn.,Xe buýt rất tiện lợi.
公斤,gōngjīn,kilogram (kg),这个包十公斤。,Zhège bāo shí gōngjīn.,Cái túi này mười kilogram.
公司,gōngsī,công ty,我在公司工作。,Wǒ zài gōngsī gōngzuò.,Tôi làm việc ở công ty.
贵,guì,"đắt, quý",这件衣服很贵。,Zhè jiàn yīfú hěn guì.,Cái áo này rất đắt.
过,guò,"qua, đi qua",请过安检门。,Qǐng guò ānjiǎn mén.\,Mời đi qua cửa an ninh.
还,hái,"vẫn, còn",我还想要一杯水。,Wǒ hái xiǎng yào yī bēi shuǐ.,Tôi còn muốn một cốc nước.
孩子,háizi,trẻ con,孩子们都在玩。,Háizimen dōu zài wán.,Những đứa trẻ đang chơi.
好吃,hǎochī,ngon,这道菜很好吃。,Zhè dào cài hěn hǎo chī.,Món ăn này rất ngon.
号,hào,"số (như số điện thoại, số nhà)",你的手机号是多少？,Nǐ de shǒujī hào shì duōshǎo?,Số điện thoại của bạn là bao nhiêu?
黑,hēi,đen,我的车是黑色的。,Wǒ de chē shì hēisè de.,Xe của tôi màu đen.
红,hóng,đỏ,她喜欢红色的衣服。,Tā xǐhuān hóngsè de yīfú.,Cô ấy thích quần áo màu đỏ.
欢迎,huānyíng,"hoan nghênh, chào mừng",欢迎你来我家。,Huānyíng nǐ lái wǒ jiā.,Chào mừng bạn đến nhà tôi.
回答,huídá,trả lời,请回答我的问题。,Qǐng huídá wǒ de wèntí.,Xin trả lời câu hỏi của tôi.
机场,jīchǎng,sân bay,机场离这里很近。,Jīchǎng lí zhèlǐ hěn jìn.,Sân bay gần đây.
鸡蛋,jīdàn,trứng gà,我喜欢吃鸡蛋。,Wǒ xǐhuān chī jīdàn.,Tôi thích ăn trứng.
件,jiàn,"cái (dùng cho sự việc, quần áo)",这件衣服很好看。,Zhè jiàn yīfú hěn hǎokàn.,Cái áo này rất đẹp.
教室,jiàoshì,lớp học,学生们在教室里学习。,Xuéshēngmen zài jiàoshì lǐ xuéxí.,Học sinh đang học trong lớp học.
姐姐,jiějie,chị gái,姐姐比我大三岁。,Jiějiě bǐ wǒ dà sān suì.,Chị gái lớn hơn tôi ba tuổi.
介绍,jièshào,giới thiệu,请介绍一下你自己。,Qǐng jièshào yīxià nǐ zìjǐ.,Xin hãy giới thiệu về bản thân.
进,jìn,vào,请进，别客气。,"Qǐng jìn, bié kèqì.","Mời vào, đừng khách sáo."
近,jìn,gần,学校离我家很近。,Xuéxiào lí wǒ jiā hěn jìn.,Trường học gần nhà tôi.
就,jiù,"thì, ngay",他就住在我家旁边。,Tā jiù zhù zài wǒ jiā pángbiān.,Anh ấy sống ngay cạnh nhà tôi.
觉得,juéde,cảm thấy,我觉得今天很热。,Wǒ juéde jīntiān hěn rè.,Tôi cảm thấy hôm nay rất nóng.
咖啡,kāfēi,cà phê,我每天早上喝咖啡。,Wǒ měitiān zǎoshang hē kāfēi.,Tôi uống cà phê mỗi sáng.
开始,kāishǐ,bắt đầu,我们现在开始上课。,Wǒmen xiànzài kāishǐ shàngkè.,Bây giờ chúng ta bắt đầu học.
考试,kǎoshì,thi,我准备好考试了。,Wǒ zhǔnbèi hǎo kǎoshì le.,Tôi đã chuẩn bị sẵn sàng cho kỳ thi.
可能,kěnéng,có thể,可能会下雨。,Kěnéng huì xiàyǔ.,Có thể sẽ mưa.
可以,kěyǐ,có thể,你可以坐在这里。,Nǐ kěyǐ zuò zài zhèlǐ.,Bạn có thể ngồi ở đây.
课,kè,bài học,我们今天有三节课。,Wǒmen jīntiān yǒu sān jié kè.,Hôm nay chúng ta có ba tiết học.
快,kuài,nhanh,他跑得很快。,Tā pǎo de hěn kuài.,Anh ấy chạy rất nhanh.
快乐,kuàilè,vui vẻ,祝你生日快乐。,Zhù nǐ shēngrì kuàilè.,Chúc bạn sinh nhật vui vẻ.
累,lèi,mệt,我累了，想休息一下。,"Wǒ lèile, xiǎng xiūxí yīxià.","Tôi mệt rồi, muốn nghỉ ngơi một chút."
离,lí,"cách (khoảng cách), rời",学校离我家不远。,Xuéxiào lí wǒ jiā bù yuǎn.,Trường học không xa nhà tôi.
两,liǎng,hai (khi đếm số lượng),我有两个弟弟。,Wǒ yǒu liǎng gè dìdì.,Tôi có hai em trai.
路,lù,đường,这条路很长。,Zhè tiáo lù hěn cháng.,Con đường này rất dài.
旅游,lǚyóu,du lịch,我喜欢旅游。,Wǒ xǐhuān lǚyóu.,Tôi thích du lịch.
卖,mài,bán,他在商店里卖东西。,Tā zài shāngdiàn lǐ mài dōngxī.,Anh ấy bán hàng trong cửa hàng.
慢,màn,chậm,他走得很慢。,Tā zǒu de hěn màn.,Anh ấy đi rất chậm.
忙,máng,bận,我今天很忙。,Wǒ jīntiān hěn máng.,Hôm nay tôi rất bận.
每,měi,mỗi,每个人都有机会。,Měi gèrén dōu yǒu jīhuì.,Mỗi người đều có cơ hội.
妹妹,mèimei,em gái,妹妹在唱歌。,Mèimei zài chànggē.,Em gái đang hát.
门,mén,cửa,他站在门口。,Tā zhàn zài ménkǒu.,Anh ấy đứng ở cửa.
男人,nánrén,đàn ông,那个男人很高。,Nàgè nánrén hěn gāo.,Người đàn ông đó rất cao.
您,nín,bạn (dùng lịch sự),您好，请进。,"Nín hǎo, qǐng jìn.","Xin chào, mời vào."
牛奶,niúnǎi,sữa bò,我每天早上喝牛奶。,Wǒ měitiān zǎoshang hē niúnǎi.,Tôi uống sữa mỗi sáng.
女人,nǚrén,phụ nữ,那个女人是我妈妈。,Nàgè nǚrén shì wǒ māma.,Người phụ nữ đó là mẹ tôi.
旁边,pángbiān,bên cạnh,学校在我家旁边。,Xuéxiào zài wǒ jiā pángbiān.,Trường học ở cạnh nhà tôi.
跑步,pǎobù,chạy bộ,我每天早上跑步。,Wǒ měitiān zǎoshang pǎobù.,Tôi chạy bộ mỗi sáng.
便宜,piányí,rẻ,这件衣服很便宜。,Zhè jiàn yīfú hěn piányí.,Cái áo này rất rẻ.
票,piào,vé,我买了两张电影票。,Wǒ mǎile liǎng zhāng diànyǐng piào.,Tôi đã mua hai vé xem phim.
妻子,qīzi,vợ,这是我的妻子。,Zhè shì wǒ de qīzi.,Đây là vợ tôi.
起床,qǐchuáng,dậy (rời khỏi giường),我每天六点起床。,Wǒ měitiān liù diǎn qǐchuáng.,Tôi thức dậy lúc sáu giờ mỗi ngày.
千,qiān,nghìn,我有一千块钱。,Wǒ yǒu yīqiān kuài qián.,Tôi có một ngàn đồng.
晴,qíng,"nắng, quang đãng",今天是晴天。,Jīntiān shì qíngtiān.,Hôm nay trời nắng.
去年,qùnián,năm ngoái,我去年去了中国。,Wǒ qùnián qùle zhōngguó.,Năm ngoái tôi đã đi Trung Quốc.
让,ràng,"để, làm cho, nhường",请让他进来。,Qǐng ràng tā jìnlái.,Xin hãy để anh ấy vào.
上班,shàngbān,đi làm,我每天八点上班。,Wǒ měitiān bā diǎn shàngbān.,Tôi đi làm lúc tám giờ mỗi ngày.
身体,shēntǐ,cơ thể,你的身体怎么样？,Nǐ de shēntǐ zěnme yàng?,Sức khỏe của bạn thế nào?
生病,shēngbìng,bị bệnh,他生病了，不能来上课。,"Tā shēngbìng le, bùnéng lái shàngkè.","Anh ấy bị ốm, không thể đến lớp."
生日,shēngrì,sinh nhật,今天是我的生日。,Jīntiān shì wǒ de shēngrì.,Hôm nay là sinh nhật của tôi.
时间,shíjiān,thời gian,现在我没有时间。,Xiànzài wǒ méiyǒu shíjiān.,Bây giờ tôi không có thời gian.
事情,shìqíng,việc,你在做什么事情？,Nǐ zài zuò shénme shìqíng?,Bạn đang làm việc gì vậy?
手表,shǒubiǎo,đồng hồ,这块手表很贵。,Zhè kuài shǒubiǎo hěn guì.,Chiếc đồng hồ này rất đắt.
手机,shǒujī,điện thoại di động,我的手机没电了。,Wǒ de shǒujī méi diàn le.,Điện thoại của tôi hết pin rồi.
送,sòng,tặng,我送你一本书。,Wǒ sòng nǐ yī běn shū.,Tôi tặng bạn một quyển sách.
所以,suǒyǐ,vì vậy,他很累，所以休息了。,"Tā hěn lèi, suǒyǐ xiūxí le.","Anh ấy rất mệt, nên đã nghỉ ngơi rồi."
它,tā,"nó (cho vật, động vật)",它是一只可爱的小猫。,Tā shì yī zhī kě'ài de xiǎo māo.,Nó là một chú mèo đáng yêu.
踢足球,tī zúqiú,đá bóng,我们一起踢足球吧。,Wǒmen yīqǐ tī zúqiú ba.,Chúng ta cùng chơi đá bóng nhé.
题,tí,"câu hỏi, đề bài",这道题很难。,Zhè dào tí hěn nán.,Câu hỏi này rất khó.
跳舞,tiàowǔ,nhảy múa,我喜欢跳舞。,Wǒ xǐhuān tiàowǔ.,Tôi thích nhảy múa.
外,wài,ngoài,他在外面等你。,Tā zài wàimiàn děng nǐ.,Anh ấy đang đợi bạn ở bên ngoài.
玩,wán,chơi,小孩子们在玩游戏。,Xiǎo háizimen zài wán yóuxì.,Các em nhỏ đang chơi trò chơi.
完,wán,"xong, hoàn thành",我已经做完了作业。,Wǒ yǐjīng zuò wán le zuòyè.,Tôi đã làm xong bài tập.
晚上,wǎnshàng,buổi tối,我晚上九点睡觉。,Wǒ wǎnshàng jiǔ diǎn shuìjiào.,Tôi đi ngủ lúc chín giờ tối.
为什么,wèishénme,tại sao,你为什么不来？,Nǐ wèishéme bù lái?,Tại sao bạn không đến?
问,wèn,hỏi,请问你叫什么名字？,Qǐng wèn nǐ jiào shénme míngzì?,Xin hỏi bạn tên là gì?
问题,wèntí,vấn đề,这个问题很重要。,Zhège wèntí hěn zhòngyào.,Vấn đề này rất quan trọng.
西瓜,xīguā,dưa hấu,我喜欢吃西瓜。,Wǒ xǐhuān chī xīguā.,Tôi thích ăn dưa hấu.
希望,xīwàng,hy vọng,我希望你能来。,Wǒ xīwàng nǐ néng lái.,Tôi hy vọng bạn có thể đến.
洗,xǐ,rửa,请洗手。,Qǐng xǐ shǒu.,Xin rửa tay.
向,xiàng,"hướng về, đối với",向左走。,Xiàng zuǒ zǒu.,Đi về phía bên trái.
小时,xiǎoshí,tiếng đồng hồ,我每天学习一个小时。,Wǒ měitiān xuéxí yī gè xiǎoshí.,Tôi học một tiếng mỗi ngày.
笑,xiào,cười,他在笑什么？,Tā zài xiào shénme?,Anh ấy đang cười gì vậy?
新,xīn,mới,我有一个新手机。,Wǒ yǒu yī gè xīn shǒujī.,Tôi có một chiếc điện thoại mới.
姓,xìng,họ,你姓什么？,Nǐ xìng shénme?,Họ của bạn là gì?
休息,xiūxi,nghỉ ngơi,我累了，需要休息。,"Wǒ lèile, xūyào xiūxí.","Tôi mệt rồi, cần nghỉ ngơi."
雪,xuě,tuyết,明天会下雪。,Míngtiān huì xià xuě.,Ngày mai sẽ có tuyết rơi.
颜色,yánsè,màu sắc,你喜欢什么颜色？,Nǐ xǐhuān shénme yánsè?,Bạn thích màu gì?
眼睛,yǎnjing,mắt,他的眼睛很大。,Tā de yǎnjīng hěn dà.,Mắt của anh ấy rất to.
羊肉,yángròu,thịt cừu,我喜欢吃羊肉。,Wǒ xǐhuān chī yángròu.,Tôi thích ăn thịt cừu.
要,yào,"muốn, cần",我要一杯水。,Wǒ yào yī bēi shuǐ.,Tôi muốn một cốc nước.
药,yào,thuốc,我生病了，要吃药。,"Wǒ shēngbìng le, yào chī yào.","Tôi bị ốm, cần uống thuốc."
也,yě,cũng,他也喜欢游泳。,Tā yě xǐhuān yóuyǒng.,Anh ấy cũng thích bơi lội.
已经,yǐjīng,đã,我已经吃过饭了。,Wǒ yǐjīng chī guò fàn le.,Tôi đã ăn cơm rồi.
一起,yìqǐ,cùng nhau,我们一起去看电影吧。,Wǒmen yīqǐ qù kàn diànyǐng ba.,Chúng ta cùng đi xem phim nhé.
意思,yìsi,ý nghĩa,这是什么意思？,Zhè shì shénme yìsi?,Điều này có nghĩa là gì?
阴,yīn,"âm u, trời nhiều mây",今天是阴天。,Jīntiān shì yīntiān.,Hôm nay là ngày trời âm u.
因为,yīnwèi,vì,因为下雨，我不去跑步。,"Yīnwèi xiàyǔ, wǒ bú qù pǎobù.","Vì trời mưa, tôi không đi chạy bộ."
游泳,yóuyǒng,bơi,我喜欢游泳。,Wǒ xǐhuān yóuyǒng.,Tôi thích bơi lội.
右边,yòubiān,bên phải,他坐在我右边。,Tā zuò zài wǒ yòubiān.,Anh ấy ngồi bên phải tôi.
鱼,yú,cá,我们晚饭吃鱼。,Wǒmen wǎnfàn chī yú.,Chúng tôi ăn cá vào bữa tối.
元,yuán,Đồng (đơn vị tiền tệ),这本书要十元。,Zhè běn shū yào shí yuán.,Quyển sách này giá mười đồng.
远,yuǎn,xa,他家离学校很远。,Tā jiā lí xuéxiào hěn yuǎn.,Nhà anh ấy cách xa trường học.
运动,yùndòng,vận,我每天都运动。,Wǒ měitiān dōu yùndòng.,Tôi tập thể dục mỗi ngày.
再,zài,lại,请再说一遍。,Qǐng zài shuō yī biàn.,Xin hãy nói lại một lần nữa.
早上,zǎoshàng,buổi sáng,我每天早上六点起床。,Wǒ měitiān zǎoshang liù diǎn qǐchuáng.,Tôi dậy lúc sáu giờ sáng mỗi ngày.
张,zhāng,"tờ, bức (dùng cho vật phẳng, giấy, tranh, bàn)",这是一张照片。,Zhè shì yī zhāng zhàopiàn.,Đây là một tấm ảnh.
丈夫,zhàngfu,chồng,这是我的丈夫。,Zhè shì wǒ de zhàngfu.,Đây là chồng tôi.
找,zhǎo,tìm,我在找我的钥匙。,Wǒ zài zhǎo wǒ de yàoshi.,Tôi đang tìm chìa khóa của mình.
着,zhe,đang (dùng để chỉ trạng thái hiện tại),他在吃着饭呢。,Tā zài chī zhe fàn ne.,Anh ấy đang ăn cơm.
真,zhēn,thật,这个苹果真好吃。,Zhège píngguǒ zhēn hào chī.,Quả táo này thật ngon.
正在,zhèngzài,đang,妈妈正在打电话。,Māma zhèngzài dǎ diànhuà.,"Mẹ đang gọi điện thoại.
"
知道,zhīdào,biết,我知道他是谁。,Wǒ zhīdào tā shì shéi.,Tôi biết anh ấy là ai.
准备,zhǔnbèi,chuẩn bị,我正在准备考试。,Wǒ zhèngzài zhǔnbèi kǎoshì.,Tôi đang chuẩn bị cho kỳ thi.
自行车,zìxíngchē,xe đạp,他骑自行车去上班。,Tā qí zìxíngchē qù shàngbān.,Anh ấy đi làm bằng xe đạp.
走,zǒu,đi,我们一起走吧。,Wǒmen yīqǐ zǒu ba.,Chúng ta cùng đi nhé.
最,zuì,nhất (so sánh nhất),这是我最喜欢的书。,Zhè shì wǒ zuì xǐhuān de shū.,Đây là cuốn sách tôi thích nhất.
左边,zuǒbiān,bên trái,他坐在我左边。,Tā zuò zài wǒ zuǒbiān.,Anh ấy ngồi bên trái tôi.
