爱,ài,yêu,我爱你。,Wǒ ài nǐ.,Tôi yêu bạn.
女儿,nǚ'ér,con gái,她是我的女儿。,Tā shì wǒ de nǚ'ér.,Con bé là con gái của tôi.
朋友,péngyou,bạn,她的朋友很聪明。,Tā de péngyou hěn cōngmíng.,Bạn của cô ấy rất thông minh.
漂亮,piàoliang,đẹp,她很漂亮。,Tā hěn piàoliang.,Cô ấy rất xinh đẹp.
苹果,píngguǒ,táo,这个苹果很好吃。,Zhège píngguǒ hěn hǎochī.,Táo này rất ngon.
七,qī,bảy,我有七个朋友。,Wǒ yǒu qī ge péngyou.,Tôi có bảy người bạn.
钱,qián,tiền,这本书多少钱？,Zhè běn shū duōshǎo qián?,Cuốn sách này giá bao nhiêu?
前面,qiánmiàn,phía trước,火车站在前面。,Huǒchēzhàn zài qiánmiàn.,Ga tàu ở phía trước.
请,qǐng,"xin vui lòng, mời",请给我菜单。,Qǐng gěi wǒ càidān.,Xin vui lòng đưa cho tôi thực đơn.
去,qù,đi,我们要去商店。,Wǒmen yào qù shāngdiàn.,Chúng tôi phải đến cửa hàng.
热,rè,nóng,天气很热。,Tiānqì hěn rè.,Thời tiết rất nóng.
人,rén,người,这个人很友好。,Zhè ge rén hěn yǒuhǎo.,Người này rất thân thiện.
认识,rènshi,quen biết,我认识他。,Wǒ rènshi tā.,Tôi quen anh ấy.
日,rì,ngày,今天是几月几日？,Jīntiān shì jǐ yuè jǐ rì?,Hôm nay là ngày mấy tháng mấy?
三,sān,ba,我有三本书。,Wǒ yǒu sān běn shū.,Tôi có ba cuốn sách.
商店,shāngdiàn,cửa hàng,这个商店很大。,Zhège shāngdiàn hěn dà.,Cửa hàng này rất lớn.
上,shàng,lên,他在上楼。,Tā zài shàng lóu.,Anh ấy đang lên tầng.
上午,shàngwǔ,buổi sáng,上午我们去学校。,Shàngwǔ wǒmen qù xuéxiào.,Vào buổi sáng chúng tôi đi học.
少,shǎo,ít,我们还少一个人。,Wǒmen hái shǎo yīgè rén.,Chúng tôi vẫn thiếu một người.
谁,shuí/ shéi,ai,谁是你的老师？,Shéi shì nǐ de lǎoshī?,Ai là giáo viên của bạn?
什么,shénme,cái gì,你想吃什么？,Nǐ xiǎng chī shénme?,Bạn muốn ăn gì?
十,shí,mười,我有十块钱。,Wǒ yǒu shí kuài qián.,Tôi có mười tệ.
时候,shíhòu,"lúc, khi",你什么时候来？,Nǐ shénme shíhòu lái?,Bạn đến lúc nào ?
是,shì,"là, thì",这是一本好书。,Zhè shì yī běn hǎo shū.,Đây là một cuốn sách hay.
书,shū,sách,这本书很有意思。,Zhè běn shū hěn yǒuyìsi.,Cuốn sách này rất thú vị.
水,shuǐ,nước,我喝水。,Wǒ hē shuǐ.,Tôi uống nước.
水果,shuǐguǒ,trái cây,她喜欢吃水果。,Tā xǐhuān chī shuǐguǒ.,Cô ấy thích ăn trái cây.
睡觉,shuìjiào,ngủ,他每天晚上十点睡觉。,Tā měitiān wǎnshàng shí diǎn shuìjiào.,Anh ấy đi ngủ lúc mười giờ tối mỗi ngày.
说话,shuōhuà,nói chuyện,你怎么不说话？,Nǐ zěnme bù shuōhuà?,Sao bạn không nói chuyện thế?
四,sì,bốn,他们四个人去旅行。,Tāmen sì gè rén qù lǚxíng.,Bốn người họ đi du lịch.
岁,suì,tuổi,我今年二十五岁。,Wǒ jīnnián èrshíwǔ suì.,Tôi năm nay hai mươi lăm tuổi.
他,tā,"anh ấy, ông ấy",他是我的朋友。,Tā shì wǒ de péngyou.,Anh ấy là bạn của tôi.
她,tā,"cô ấy, bà ấy",她在家里。,Tā zài jiālǐ.,Cô ấy ở nhà.
太,tài,quá,今天太热了。,Jīntiān tài rè le.,Hôm nay nóng quá.
天气,tiānqì,thời tiết,今天天气很好。,Jīntiān tiānqì hěn hǎo.,Thời tiết hôm nay rất tốt.
听,tīng,nghe,我喜欢听音乐。,Wǒ xǐhuān tīng yīnyuè.,Tôi thích nghe nhạc.
同学,tóngxué,bạn học,我们是同学。,Wǒmen shì tóngxué.,Chúng tôi là bạn học.
喂,wèi,alo,喂，你好吗？,"Wèi, nǐ hǎo ma?","Alo, bạn khỏe không?"
我,wǒ,tôi,我想喝水。,Wǒ xiǎng hē shuǐ.,Tôi muốn uống nước.
我们,wǒmen,chúng tôi,我们一起去吧。,Wǒmen yīqǐ qù ba.,Chúng ta cùng đi nhé.
五,wǔ,năm,他有五本书。,Tā yǒu wǔ běn shū.,Anh ấy có năm cuốn sách.
喜欢,xǐhuān,thích,我喜欢喝咖啡。,Wǒ xǐhuān hē kāfēi.,Tôi thích uống cà phê.
下,xià,xuống,我在下楼。,Wǒ zài xià lóu.,Tôi đang xuống lầu.
下午,xiàwǔ,buổi chiều,下午我们去逛街。,Xiàwǔ wǒmen qù guàngjiē.,"uổi chiều, chúng tôi đi dạo phố."
下雨,xià yǔ,mưa,外面下雨了，记得带伞。,"Wàimiàn xià yǔ le, jìdé dài sǎn.","Ngoài trời mưa, nhớ mang theo ô."
先生,xiānshēng,"ông, ngài",先生，这边请。,"Xiānshēng, zhè biān qǐng",Mời anh qua bên này.
现在,xiànzài,bây giờ,我现在很累。,Wǒ xiànzài hěn lèi.,Tôi hiện tại rất mệt.
想,xiǎng,"nghĩ, muốn",我想去看电影。,Wǒ xiǎng qù kàn diànyǐng.,Tôi muốn đi xem phim.
小,xiǎo,nhỏ,这是一只小狗。,Zhè shì yī zhī xiǎo gǒu.,Đây là một chú chó con.
小姐,xiǎojiě,cô (trong cách gọi),小姐，请问这里有洗手间吗？,"Xiǎojiě, qǐngwèn zhèlǐ yǒu xǐshǒujiān ma?","Cô ơi, xin hỏi ở đây có nhà vệ sinh không?"
些,xiē,vài,我们买了一些水果。,Wǒmen mǎile yīxiē shuǐguǒ.,Chúng tôi đã mua một ít trái cây.
写,xiě,viết,我正在写信。,Wǒ zhèngzài xiě xìn.,Tôi đang viết thư.
谢谢,xièxiè,cảm ơn,谢谢你的帮助。,Xièxiè nǐ de bāngzhù.,Cảm ơn sự giúp đỡ của bạn.
星期,xīngqī,tuần,一个星期就好。,Yí gè xīngqī jiǔ hǎo.,Một tuần là được
学生,xuéshēng,học sinh,他是一个好学生。,Tā shì yīgè hǎo xuéshēng.,Anh ấy là một học sinh giỏi.
学习,xuéxí,học tập,学习中文很有趣。,Xuéxí zhōngwén hěn yǒuqù.,Học tiếng Trung rất thú vị.
学校,xuéxiào,trường học,我在学校学习中文。,Wǒ zài xuéxiào xuéxí zhōngwén.,Tôi học tiếng Trung ở trường.
一,yī,một,一个人在公园散步。,Yī gè rén zài gōngyuán sànbù.,Một người đang đi dạo trong công viên.
衣服,yīfu,quần áo,这件衣服很漂亮。,Zhè jiàn yīfu hěn piàoliang.,Bộ quần áo này rất đẹp.
医生,yīshēng,bác sĩ,他是一位医生。,Tā shì yī wèi yīshēng.,Anh ấy là một bác sĩ.
医院,yīyuàn,bệnh viện,我们去医院看病。,Wǒmen qù yīyuàn kàn bìng.,Chúng tôi đến bệnh viện để khám bệnh.
椅子,yǐzi,ghế,请坐在椅子上。,Qǐng zuò zài yǐzi shàng.,Xin ngồi lên ghế.
月,yuè,"tháng, mặt trăng",这个月我很忙。,Zhège yuè wǒ hěn máng.,Tháng này tôi rất bận.
在,zài,"ở, tại",他在学校学习。,Tā zài xuéxiào xuéxí.,Anh ấy học ở trường.
再见,zàijiàn,tạm biệt,我们明天再见。,Wǒmen míngtiān zàijiàn.,Chúng ta gặp lại vào ngày mai.
怎么,zěnme,làm sao,你怎么了？,Nǐ zěnme le?,Bạn sao vậy?
怎么样,zěnmeyàng,như thế nào,你的工作怎么样？,Nǐ de gōngzuò zěnmeyàng?,Công việc của bạn thế nào?
这,zhè,"Đây, này",这件事怎么样？,Zhè jiàn shì zěnme yàng?,Việc này như thế nào?
中国,Zhōngguó,Trung Quốc,中国有很多美丽的风景。,Zhōngguó yǒu hěn duō měilì de fēngjǐng.,Trung Quốc có nhiều cảnh đẹp.
中午,zhōngwǔ,buổi trưa,中午我们去吃饭吧。,Zhōngwǔ wǒmen qù chīfàn ba.,Buổi trưa chúng ta đi ăn cơm nhé.
住,zhù,"sống, cư trú",我住在一个很安静的地方。,Wǒ zhù zài yīgè hěn ānjìng de dìfāng.,Tôi sống ở một nơi rất yên tĩnh.
桌子,zhuōzi,bàn,桌子上放着一本书。,Zhuōzi shàng fàngzhe yī běn shū.,Trên bàn có một cuốn sách.
字,zì,chữ,我们要学会写字。,Wǒmen yào xuéhuì xiě zì.,Chúng ta phải học viết chữ.
昨天,zuótiān,hôm qua,昨天我去看了一部电影。,Zuótiān wǒ qù kànle yī bù diànyǐng.,Hôm qua tôi đã đi xem một bộ phim.
坐,zuò,ngồi,我们在公园里坐了一会儿。,Wǒmen zài gōngyuán lǐ zuòle yīhuìr.,Chúng tôi đã ngồi một lúc trong công viên.
做,zuò,làm,他正在做作业。,Tā zhèngzài zuò zuòyè.,Anh ấy đang làm bài tập về nhà.
