比如,bǐ rú,ví dụ như,比如说，苹果和香蕉。,"Bǐrú shuō, píngguǒ hé xiāngjiāo.","Ví dụ như, táo và chuối."
毕业,bì yè,tốt nghiệp,他今年大学毕业了。,Tā jīnnián dàxué bìyè le.,Năm nay anh ấy tốt nghiệp đại học.
遍,biàn,"lần, lượt",这本书我看三遍了。,Zhè běn shū wǒ kàn sān biàn le.,Tôi đã đọc cuốn sách này ba lần.
标准,biāo zhǔn,tiêu chuẩn,他的中文发音很标准。,Tā de Zhōngwén fāyīn hěn biāozhǔn.,Phát âm tiếng Trung của anh ấy rất chuẩn.
表格,biǎo gé,bảng biểu,请填写这张表格。,Qǐng tiánxiě zhè zhāng biǎogé.,Vui lòng điền vào mẫu đơn này.
表示,biǎo shì,"biểu thị, cho thấy",他表示同意。,Tā biǎoshì tóngyì.,Anh ấy biểu thị đồng ý.
表演,biǎo yǎn,biểu diễn,她的表演很精彩。,Tā de biǎoyǎn hěn jīngcǎi.,Màn biểu diễn của cô ấy rất xuất sắc.
表扬,biǎo yáng,tuyên dương,老师表扬了他。,Lǎoshī biǎoyáng le tā.,Thầy giáo khen ngợi anh ấy.
饼干,bǐng gān,bánh,我喜欢吃饼干。,Wǒ xǐhuān chī bǐnggān.,Tôi thích ăn bánh quy.
并且,bìng qiě,đồng thời,她聪明并且努力。,Tā cōngmíng bìngqiě nǔlì.,Cô ấy thông minh và chăm chỉ.
博士,bó shì,tiến sĩ,他是一个博士。,Tā shì yīgè bóshì.,Anh ấy là một tiến sĩ.
不得不,bù dé bù,đành,我不得不去工作。,Wǒ bùdébù qù gōngzuò.,Tôi không thể không đi làm.
不管,bù guǎn,bất kể,不管天气如何，我都会去。,"Bùguǎn tiānqì rúhé, wǒ dōu huì qù.","Bất kể thời tiết thế nào, tôi cũng sẽ đi."
不过,bù guò,"nhưng, có điều",不过，这样更好。,"Bùguò, zhèyàng gèng hǎo.","có điều, như vậy tốt hơn."
不仅,bù jǐn,không những,他不仅聪明，而且很努力。,"Tā bùjǐn cōngmíng, érqiě hěn nǔlì.",Anh ấy không chỉ thông minh mà còn rất chăm chỉ.
部分,bù fèn,"bộ phận, phần",这只是问题的一部分。,Zhè zhǐshì wèntí de yī bùfèn.,Đây chỉ là một phần của vấn đề.
擦,cā,lau,请把桌子擦干净。,Qǐng bǎ zhuōzi cā gānjìng.,Hãy lau sạch bàn.
猜,cāi,đoán,我猜他不会来。,Wǒ cāi tā bù huì lái.,Tôi đoán anh ấy sẽ không đến.
材料,cái liào,tài liệu,请准备好材料。,Qǐng zhǔnbèi hǎo cáiliào.,Hãy chuẩn bị sẵn tài liệu.
参观,cān guān,tham quan,我们要去参观博物馆。,Wǒmen yào qù cānguān bówùguǎn.,Chúng ta sẽ đi tham quan bảo tàng.
餐厅,cān tīng,"căng tin, nhà ăn",我们在餐厅吃饭。,Wǒmen zài cāntīng chīfàn.,Chúng tôi ăn ở nhà hàng.
厕所,cè suǒ,phòng vệ sinh,厕所在那边。,Cèsuǒ zài nà biān.,Nhà vệ sinh ở đằng kia.
差不多,chà bù duō,gần như,我们差不多同岁。,Wǒmen chàbùduō tóng suì.,Chúng ta gần bằng tuổi nhau.
长城,cháng chéng,Trường Thành,我们参观了长城。,Wǒmen cānguān le Chángchéng.,Chúng tôi đã tham quan Vạn Lý Trường Thành.
长江,cháng jiāng,Trường Giang,长江是中国最长的河流。,Chángjiāng shì Zhōngguó zuì cháng de héliú.,Trường Giang là con sông dài nhất Trung Quốc.
尝,cháng,nếm thử,你尝过这道菜吗？,Nǐ cháng guò zhè dào cài ma?,Bạn đã từng thử món này chưa?
场,chǎng,"trận, suất",这场比赛很重要。,Zhè chǎng bǐsài hěn zhòngyào.,Trận đấu này rất quan trọng.
超过,chāo guò,vượt trên,他超过了我。,Tā chāoguò le wǒ.,Anh ấy vượt qua tôi.
成功,chéng gōng,thành công,她终于成功了。,Tā zhōngyú chénggōng le.,Cuối cùng cô ấy đã thành công.
成为,chéng wéi,trở thành,他想成为医生。,Tā xiǎng chéngwéi yīshēng.,Anh ấy muốn trở thành bác sĩ.
诚实,chéng shí,trung thực,他是个诚实的人。,Tā shì gè chéngshí de rén.,Anh ấy là người thật thà.
乘坐,chéng zuò,ngồi xe,我们乘坐飞机去北京。,Wǒmen chéngzuò fēijī qù Běijīng.,Chúng tôi đi máy bay đến Bắc Kinh.
吃惊,chī jīng,ngạc nhiên,她的消息让我很吃惊。,Tā de xiāoxi ràng wǒ hěn chījīng.,Tin tức của cô ấy làm tôi rất ngạc nhiên.
重新,chóng xīn,làm lại,我重新开始学习中文。,Wǒ chóngxīn kāishǐ xuéxí Zhōngwén.,Tôi bắt đầu học lại tiếng Trung.
抽烟,chōu yān,hút thuốc,请不要在这里抽烟。,Qǐng bùyào zài zhèlǐ chōuyān.,Vui lòng không hút thuốc ở đây.
出差,chū chāi,đi công tác,他经常出差。,Tā jīngcháng chūchāi.,Anh ấy thường đi công tác.
出发,chū fā,xuất phát,我们早上七点出发。,Wǒmen zǎoshang qī diǎn chūfā.,Chúng tôi khởi hành lúc 7 giờ sáng.
出生,chū shēng,ra đời,我在越南出生。,Wǒ zài Yuènán chūshēng.,Tôi sinh ra ở Việt Nam.
出现,chū xiàn,xuất hiện,问题突然出现了。,Wèntí tūrán chūxiàn le.,Vấn đề đột nhiên xuất hiện.
厨房,chú fáng,phòng bếp,她在厨房做饭。,Tā zài chúfáng zuòfàn.,Cô ấy nấu ăn trong bếp.
传真,chuán zhēn,"fax, bản fax",请发送传真。,Qǐng fāsòng chuánzhēn.,Vui lòng gửi fax.
窗户,chuāng hù,cửa sổ,窗户开着。,Chuānghu kāizhe.,Cửa sổ đang mở.
词语,cí yǔ,từ ngữ,请学习这些词语。,Qǐng xuéxí zhèxiē cíyǔ.,Vui lòng học những từ này.
从来,cóng lái,từ trước đến nay,我从来没见过他。,Wǒ cónglái méi jiànguò tā.,Tôi chưa bao giờ gặp anh ấy.
粗心,cū xīn,"thô lỗ, cẩu thả",他做事很粗心。,Tā zuòshì hěn cūxīn.,Anh ấy làm việc rất cẩu thả.
存,cún,"giữ, tiết kiệm, tồn",我在银行存了钱。,Wǒ zài yínháng cún le qián.,Tôi gửi tiền vào ngân hàng.
错误,cuò wù,sai lầm,这是我们的错误。,Zhè shì wǒmen de cuòwù.,Đây là lỗi của chúng tôi.
答案,dá àn,đáp án,这是正确的答案。,Zhè shì zhèngquè de dá'àn.,Đây là đáp án đúng.
打扮,dǎ bàn,"trau chuốt, trang điểm",她打扮得很漂亮。,Tā dǎbàn de hěn piàoliang.,Cô ấy trang điểm rất đẹp.
打扰,dǎ rǎo,làm phiền,对不起，打扰一下。,"Duìbùqǐ, dǎrǎo yīxià.","Xin lỗi, làm phiền một chút."
打印,dǎ yìn,in ấn,请帮我打印这份文件。,Qǐng bāng wǒ dǎyìn zhè fèn wénjiàn.,Vui lòng in giúp tôi tài liệu này.
打招呼,dǎ zhāo hū,chào hỏi,他向我打招呼。,Tā xiàng wǒ dǎzhāohū.,Anh ấy chào tôi.
打折,dǎ zhé,giảm giá,商店正在打折。,Shāngdiàn zhèngzài dǎzhé.,Cửa hàng đang giảm giá.
打针,dǎ zhēn,tiêm,我不喜欢打针。,Wǒ bù xǐhuān dǎzhēn.,Tôi không thích tiêm.
大概,dà gài,khoảng,他大概十岁。,Tā dàgài shí suì.,Cậu ấy khoảng mười tuổi.
大使馆,dà shǐ guǎn,đại sứ quán,我们去了大使馆。,Wǒmen qùle dàshǐguǎn.,Chúng tôi đã đến đại sứ quán.
大约,dà yuē,khoảng,他们大约八点到。,Tāmen dàyuē bā diǎn dào.,Họ đến khoảng tám giờ.
大夫,dài fū,"bác sĩ, đại phu",张大夫在医院工作。,Zhāng dàifū zài yīyuàn gōngzuò.,Bác sĩ Trương làm việc ở bệnh viện.
戴,dài,đeo,她戴着一顶帽子。,Tā dàizhe yī dǐng màozi.,Cô ấy đội một chiếc mũ.
当,dāng,làm,我当老师。,Wǒ dāng lǎoshī.,Tôi làm giáo viên.
当时,dāng shí,lúc đó,当时我在学校。,Dāngshí wǒ zài xuéxiào.,Lúc đó tôi đang ở trường.
刀,dāo,cái dao,请小心那把刀。,Qǐng xiǎoxīn nà bǎ dāo.,Hãy cẩn thận với con dao đó.
导游,dǎo yóu,hướng dẫn viên du lịch,导游带我们参观了城市。,Dǎoyóu dài wǒmen cānguān le chéngshì.,Hướng dẫn viên đã dẫn chúng tôi tham quan thành phố.
到处,dào chù,khắp nơi,我们到处找你。,Wǒmen dàochù zhǎo nǐ.,Chúng tôi tìm bạn khắp nơi.
到底,dào dǐ,cuối cùng,你到底在做什么？,Nǐ dàodǐ zài zuò shénme?,Rốt cuộc bạn đang làm gì vậy?
倒,dǎo,"đổ, ngã",他把茶倒在了桌子上。,Tā bǎ chá dào zài le zhuōzi shàng.,Anh ấy đổ trà lên bàn.
道歉,dào qiàn,xin lỗi,我向你道歉。,Wǒ xiàng nǐ dàoqiàn.,Tôi xin lỗi bạn.
得意,dé yì,đắc ý,他很得意自己的成绩。,Tā hěn déyì zìjǐ de chéngjī.,Anh ấy rất tự hào về thành tích của mình.
得（助动词）,de （ zhù dòng cí ）,trợ từ,她学汉语学得很好。,Tā xué Hànyǔ xué de hěn hǎo,Cô ấy học tiếng Hán rất giỏi.
登机牌,dēng jī pái,thẻ lên tàu,请拿好你的登机牌。,Qǐng ná hǎo nǐ de dēngjīpái.,Vui lòng giữ kỹ thẻ lên máy bay của bạn.
等（助词）,děng （ zhù cí ）,vân vân,我喜欢听音乐、看电影等等。,"Wǒ xǐhuān tīng yīnyuè, kàn diànyǐng, děng děng.","Tôi thích nghe nhạc, xem phim,vv.."
低,dī,thấp,一场大雨过后，地势低的地方积满了雨水。,"Yī chǎng dàyǔ guòhòu, dìshì dī dì dìfāng jī mǎnle yǔshuǐ.","Sau 1 trận mưa lớn, nơi địa thế thấp tích đầy nước mưa."
底,dǐ,đáy,快到年底时谁都忙起来。,Kuài dào niándǐ shí shéi dōu máng qǐlái.,Lúc sắp đến cuối năm ai cũng trở nên bận rộn.
地点,dì diǎn,địa điểm,会议地点在这里。,Huìyì dìdiǎn zài zhèlǐ.,Địa điểm cuộc họp ở đây.
地球,dì qiú,địa cầu,地球是圆的。,Dìqiú shì yuán de.,Trái đất là hình tròn.
地址,dì zhǐ,địa chỉ,请告诉我你的地址。,Qǐng gàosu wǒ nǐ de dìzhǐ.,Hãy cho tôi biết địa chỉ của bạn.
调查,diào chá,điều tra,我们需要进行调查。,Wǒmen xūyào jìnxíng diàochá.,Chúng tôi cần tiến hành điều tra.
掉,diào,rơi,他掉了钥匙。,Tā diào le yàoshi.,Anh ấy làm rơi chìa khóa.
丢,diū,mất,我的书丢了。,Wǒ de shū diū le.,Sách của tôi bị mất rồi.
动作,dòng zuò,động tác,他的动作很快。,Tā de dòngzuò hěn kuài.,Hành động của anh ấy rất nhanh.
堵车,dǔ chē,tắc đường,上班时间常常堵车。,Shàngbān shíjiān chángcháng dǔchē.,Giờ đi làm thường hay tắc đường.
肚子,dù zi,bụng,我肚子疼。,Wǒ dùzi téng.,Tôi đau bụng.
短信,duǎn xìn,tin nhắn,他发了一条短信。,Tā fā le yī tiáo duǎnxìn.,Anh ấy gửi một tin nhắn.
对话,duì huà,"hội thoại, đối thoại",他们在进行对话。,Tāmen zài jìnxíng duìhuà.,Họ đang đối thoại.
对面,duì miàn,đối diện,银行在街的对面。,Yínháng zài jiē de duìmiàn.,Ngân hàng ở phía đối diện của đường.
对于,duì yú,về (vấn đề gì đó),对于这个问题，我有不同的看法。,"Duìyú zhège wèntí, wǒ yǒu bùtóng de kànfǎ.","Đối với vấn đề này, tôi có quan điểm khác."
儿童,ér tóng,trẻ con,儿童需要很多关爱。,Értóng xūyào hěn duō guān'ài.,Trẻ em cần nhiều sự quan tâm.
而,ér,còn,他聪明而且努力。,Tā cōngmíng érqiě nǔlì.,Anh ấy thông minh và chăm chỉ.
发生,fā shēng,xảy ra,事故晚上发生。,Shìgù wǎnshàng fāshēng.,Tai nạn xảy ra vào buổi tối.
发展,fā zhǎn,phát triển,城市在快速发展。,Chéngshì zài kuàisù fāzhǎn.,Thành phố đang phát triển nhanh chóng.
法律,fǎ lǜ,pháp luật,每个人都应该遵守法律。,Měi gèrén dōu yīnggāi zūnshǒu fǎlǜ.,Mỗi người đều nên tuân thủ pháp luật.
翻译,fān yì,phiên dịch,请把它翻译成越南语。,Qǐng bǎ tā fānyì chéng Yuènán yǔ.,Làm ơn dịch nó sang tiếng Việt.
烦恼,fán nǎo,phiền não,我有些烦恼。,Wǒ yǒu xiē fánnǎo.,Tôi có chút phiền muộn.
反对,fǎn duì,phản đối,他反对这个计划。,Tā fǎnduì zhège jìhuà.,Anh ấy phản đối kế hoạch này.
方法,fāng fǎ,phương pháp,他有很多方法。,Tā yǒu hěn duō fāngfǎ.,Anh ấy có nhiều phương pháp.
方面,fāng miàn,phương diện,我们在这个方面有很多经验。,Wǒmen zài zhège fāngmiàn yǒu hěn duō jīngyàn.,Chúng tôi có nhiều kinh nghiệm trong lĩnh vực này.
方向,fāng xiàng,phương hướng,我们向北走，方向正确。,"Wǒmen xiàng běi zǒu, fāngxiàng zhèngquè.","Chúng tôi đi về phía bắc, hướng đi đúng."
房东,fáng dōng,chủ nhà,房东每天早上都来。,Fángdōng měitiān zǎoshang dōu lái.,Chủ nhà đến mỗi buổi sáng.
放弃,fàng qì,"vứt bỏ, từ bỏ",他放弃了这个机会。,Tā fàngqì le zhège jīhuì.,Anh ấy đã từ bỏ cơ hội này.
放暑假,fàng shǔ jià,nghỉ hè,我们放暑假了。,Wǒmen fàng shǔjià le.,Chúng tôi đã nghỉ hè.
放松,fàng sōng,thư giãn,放松一下，别紧张。,"Fàngsōng yīxià, bié jǐnzhāng.","Thư giãn một chút, đừng căng thẳng."
份,fèn,phần,这是一份礼物。,Zhè shì yī fèn lǐwù.,Đây là một món quà.
丰富,fēng fù,phong phú,他有丰富的经验。,Tā yǒu fēngfù de jīngyàn.,Anh ấy có kinh nghiệm phong phú.
否则,fǒu zé,nếu không thì,你得早点起床，否则会迟到。,"Nǐ děi zǎodiǎn qǐchuáng, fǒuzé huì chídào.","Bạn phải dậy sớm, nếu không sẽ bị trễ."
符合,fú hé,phù hợp,你的答案符合要求。,Nǐ de dá'àn fúhé yāoqiú.,Câu trả lời của bạn đáp ứng yêu cầu.
父亲,fù qīn,bố,我的父亲很勤劳。,Wǒ de fùqīn hěn qínláo.,Bố tôi rất chăm chỉ.
付款,fù kuǎn,thanh toán,我们可以用信用卡付款。,Wǒmen kěyǐ yòng xìnyòngkǎ fùkuǎn.,Chúng ta có thể thanh toán bằng thẻ tín dụng.
负责,fù zé,phụ trách,他负责这项工作。,Tā fùzé zhè xiàng gōngzuò.,Anh ấy phụ trách công việc này.
复印,fù yìn,phô tô,请帮我复印这份文件。,Qǐng bāng wǒ fùyìn zhè fèn wénjiàn.,Vui lòng photo giúp tôi tài liệu này.
复杂,fù zá,phức tạp,这个问题很复杂。,Zhège wèntí hěn fùzá.,Vấn đề này rất phức tạp.
富,fù,giàu,他们家很富。,Tāmen jiā hěn fù.,Nhà họ rất giàu.
改变,gǎi biàn,thay đổi,我们需要改变计划。,Wǒmen xūyào gǎibiàn jìhuà.,Chúng ta cần thay đổi kế hoạch.
干杯,gān bēi,cạn ly,为我们的成功干杯！,Wèi wǒmen de chénggōng gānbēi!,Cạn ly vì thành công của chúng ta!
赶,gǎn,đuổi theo,我们必须赶上火车。,Wǒmen bìxū gǎn shàng huǒchē.,Chúng ta phải kịp chuyến tàu.
敢,gǎn,dám,我不敢说。,Wǒ bù gǎn shuō.,Tôi không dám nói.
感动,gǎn dòng,cảm động,她的故事让我很感动。,Tā de gùshì ràng wǒ hěn gǎndòng.,Câu chuyện của cô ấy làm tôi rất cảm động.
感觉,gǎn jué,cảm giác,我感觉很累。,Wǒ gǎnjué hěn lèi.,Tôi cảm thấy rất mệt.
感情,gǎn qíng,tình cảm,他们之间有很深的感情。,Tāmen zhī jiān yǒu hěn shēn de gǎnqíng.,Giữa họ có tình cảm rất sâu đậm.
感谢,gǎn xiè,cảm ơn,非常感谢你的帮助。,Fēicháng gǎnxiè nǐ de bāngzhù.,Rất cảm ơn sự giúp đỡ của bạn.
干,gān,khô,天气干燥。,Tiānqì gānzào.,Thời tiết khô ráo.
刚,gāng,vừa mới,我刚到家。,Wǒ gāng dào jiā.,Tôi vừa về đến nhà.
高速公路,gāo sù gōng lù,đường cao tốc,我们在高速公路上开车。,Wǒmen zài gāosù gōnglù shàng kāichē.,Chúng tôi lái xe trên đường cao tốc.
胳膊,gē bo,cánh tay,我的胳膊疼。,Wǒ de gēbo téng.,Cánh tay của tôi đau.
各,gè,các,各种水果都很好吃。,Gè zhǒng shuǐguǒ dōu hěn hǎochī.,Các loại trái cây đều rất ngon.
工资,gōng zī,lương,他每个月的工资很高。,Tā měi gè yuè de gōngzī hěn gāo.,Lương hàng tháng của anh ấy rất cao.
公里,gōng lǐ,km,我们走了一公里。,Wǒmen zǒu le yī gōnglǐ.,Chúng tôi đã đi được một kilomet.
功夫,gōng fū,công phu,他功夫很好。,Tā gōngfu hěn hǎo.,Anh ấy giỏi võ.
共同,gòng tóng,giống nhau,我们有共同的兴趣爱好。,Wǒmen yǒu gòngtóng de xìngqù àihào.,Chúng tôi có sở thích chung.
购物,gòu wù,mua sắm,我喜欢购物。,Wǒ xǐhuān gòuwù.,Tôi thích mua sắm.
够,gòu,đủ,这些水果够我们吃了。,Zhèxiē shuǐguǒ gòu wǒmen chī le.,Những trái cây này đủ cho chúng ta ăn.
估计,gū jì,ước lượng,我估计他今天不会来了。,Wǒ gūjì tā jīntiān bù huì lái le.,Tôi đoán anh ấy sẽ không đến hôm nay.
鼓励,gǔ lì,cổ vũ,他经常鼓励我。,Tā jīngcháng gǔlì wǒ.,Anh ấy thường khích lệ tôi.
故意,gù yì,cố ý,他故意不回答我的问题。,Tā gùyì bù huídá wǒ de wèntí.,Anh ấy cố tình không trả lời câu hỏi của tôi.
顾客,gù kè,khách hàng,这个商店的顾客很多。,Zhège shāngdiàn de gùkè hěn duō.,Cửa hàng này có nhiều khách hàng.
挂,guà,"treo, ngắt điện thoại",请把衣服挂起来。,Qǐng bǎ yīfu guà qǐlái.,Vui lòng treo quần áo lên.
关键,guān jiàn,mấu chốt,这是问题的关键。,Zhè shì wèntí de guānjiàn.,Đây là điểm mấu chốt của vấn đề.
观众,guān zhòng,khán giả,观众们都很满意。,Guānzhòngmen dōu hěn mǎnyì.,Khán giả đều rất hài lòng.
管理,guǎn lǐ,quản lý,他负责管理这个项目。,Tā fùzé guǎnlǐ zhège xiàngmù.,Anh ấy phụ trách quản lý dự án này.
光,guāng,"chỉ, hết",我们都吃光了你才来。,Wǒmen dōu chī guāngle nǐ cái lái,Tụi tôi ăn hết rồi bạn mới tới.
广播,guǎng bō,phát thanh,我每天听广播。,Wǒ měitiān tīng guǎngbò.,Tôi nghe đài phát thanh mỗi ngày.
广告,guǎng gào,quảng cáo,电视上有很多广告。,Diànshì shàng yǒu hěn duō guǎnggào.,Trên TV có rất nhiều quảng cáo.
逛,guàng,đi dạo,我喜欢逛街。,Wǒ xǐhuān guàngjiē.,Tôi thích đi dạo phố.
规定,guī dìng,qui định,我们需要遵守规定。,Wǒmen xūyào zūnshǒu guīdìng.,Chúng ta cần tuân thủ quy định.
国籍,guó jí,quốc tịch,你的国籍是什么？,Nǐ de guójí shì shénme?,Quốc tịch của bạn là gì?
国际,guó jì,quốc tế,这是一个国际会议。,Zhè shì yī gè guójì huìyì.,Đây là một hội nghị quốc tế.
果汁,guǒ zhī,nước hoa quả,我喜欢喝果汁。,Wǒ xǐhuān hē guǒzhī.,Tôi thích uống nước ép trái cây.
过程,guò chéng,quá trình,整个过程很复杂。,Zhěnggè guòchéng hěn fùzá.,Toàn bộ quá trình rất phức tạp.
海洋,hǎi yáng,đại dương,海洋很广阔。,Hǎiyáng hěn guǎngkuò.,Đại dương rất rộng lớn.
害羞,hài xiū,xấu hổ,他很害羞。,Tā hěn hàixiū.,Anh ấy rất ngại ngùng.
寒假,hán jià,kì nghỉ đông,寒假我们去旅行。,Hánjià wǒmen qù lǚxíng.,Kỳ nghỉ đông chúng tôi đi du lịch.
汗,hàn,mồ hôi,他流了很多汗。,Tā liú le hěn duō hàn.,Anh ấy đổ rất nhiều mồ hôi.
航班,háng bān,chuyến bay,我们的航班延误了。,Wǒmen de hángbān yánwù le.,Chuyến bay của chúng tôi bị hoãn.
好处,hǎo chù,cái tốt,这样做有很多好处。,Zhèyàng zuò yǒu hěn duō hǎochù.,Làm như vậy có rất nhiều lợi ích.
好像,hǎo xiàng,dường như,他好像生病了。,Tā hǎoxiàng shēngbìng le.,Anh ấy hình như bị ốm.
号码,hào mǎ,số,请告诉我你的电话号码。,Qǐng gàosù wǒ nǐ de diànhuà hàomǎ.,Hãy cho tôi biết số điện thoại của bạn.
合格,hé gé,đạt yêu cầu,他的成绩很合格。,Tā de chéngjì hěn hégé.,Thành tích của anh ấy đạt yêu cầu.
合适,hé shì,thích hợp,这件衣服很合适。,Zhè jiàn yīfú hěn héshì.,Bộ quần áo này rất hợp.
盒子,hé zi,cái hộp,他打开了盒子。,Tā dǎkāi le hézi.,Anh ấy mở cái hộp ra.
后悔,hòu huǐ,hối hận,我后悔没去旅行。,Wǒ hòuhuǐ méi qù lǚxíng.,Tôi hối hận vì đã không đi du lịch.
厚,hòu,dày,这本书很厚。,Zhè běn shū hěn hòu.,Cuốn sách này rất dày.
互联网,hù lián wǎng,mạng internet,互联网改变了我们的生活。,Hùliánwǎng gǎibiàn le wǒmen de shēnghuó.,Internet đã thay đổi cuộc sống của chúng ta.
互相,hù xiāng,lẫn nhau,他们互相帮助。,Tāmen hùxiāng bāngzhù.,Họ giúp đỡ lẫn nhau.
护士,hù shì,y tá,护士很辛苦。,Hùshì hěn xīnkǔ.,Y tá rất vất vả.
怀疑,huái yí,nghi ngờ,我怀疑他在撒谎。,Wǒ huáiyí tā zài sāhuǎng.,Tôi nghi ngờ anh ấy đang nói dối.
回忆,huí yì,"hồi ức, nhớ lại",这些都是美好的回忆。,Zhèxiē dōu shì měihǎo de huíyì.,Đây đều là những kỷ niệm đẹp.
活动,huó dòng,hoạt động,学校组织了很多活动。,Xuéxiào zǔzhī le hěn duō huódòng.,Trường học tổ chức nhiều hoạt động.
活泼,huó pō,hoạt bát,她很活泼。,Tā hěn huópō.,Cô ấy rất hoạt bát.
火,huǒ,lửa,火很危险。,Huǒ hěn wēixiǎn.,Lửa rất nguy hiểm.
获得,huò dé,giành được,他获得了奖学金。,Tā huòdé le jiǎngxuéjīn.,Anh ấy đã nhận được học bổng.
积极,jī jí,tích cực,我们应该积极面对生活。,Wǒmen yīnggāi jījí miànduì shēnghuó.,Chúng ta nên tích cực đối mặt với cuộc sống.
积累,jī lěi,tích lũy,他积累了很多经验。,Tā jīlěi le hěn duō jīngyàn.,Anh ấy tích lũy được rất nhiều kinh nghiệm.
基础,jī chǔ,"cơ sở, căn bản",基础知识很重要。,Jīchǔ zhīshì hěn zhòngyào.,Kiến thức cơ bản rất quan trọng.
激动,jī dòng,xúc động,听到这个消息我很激动。,Tīngdào zhège xiāoxī wǒ hěn jīdòng.,Nghe tin này tôi rất xúc động.
及时,jí shí,kịp thời,他及时完成了任务。,Tā jíshí wánchéng le rènwù.,Anh ấy hoàn thành nhiệm vụ đúng giờ.
即使,jí shǐ,cho dù,即使下雨我们也去。,Jíshǐ xiàyǔ wǒmen yě qù.,Dù trời mưa chúng ta cũng đi.
计划,jì huà,kế hoạch,我们需要制定计划。,Wǒmen xūyào zhìdìng jìhuà.,Chúng ta cần lập kế hoạch.
记者,jì zhě,phóng viên,记者在现场报道。,Jìzhě zài xiànchǎng bàodǎo.,Phóng viên đang tường thuật tại hiện trường.
技术,jì shù,kỹ thuật,他对技术很感兴趣。,Tā duì jìshù hěn gǎn xìngqù.,Anh ấy rất hứng thú với công nghệ.
既然,jì rán,đã….,既然你来了，就一起吃饭吧。,"Jìrán nǐ lái le, jiù yīqǐ chīfàn ba.","Đã bạn đến rồi, cùng ăn cơm nhé."
继续,jì xù,tiếp tục,我们继续学习。,Wǒmen jìxù xuéxí.,Chúng ta tiếp tục học.
寄,jì,gửi,他给朋友寄了封信。,Tā gěi péngyǒu jì le fēng xìn.,Anh ấy gửi một bức thư cho bạn.
加班,jiā bān,tăng ca,他常常加班。,Tā chángcháng jiābān.,Anh ấy thường làm thêm giờ.
加油站,jiā yóu zhàn,cây xăng,我们在加油站加油。,Wǒmen zài jiāyóuzhàn jiāyóu.,Chúng tôi đổ xăng tại trạm xăng.
家具,jiā jù,đồ gia dụng,这家店卖很多家具。,Zhè jiā diàn mài hěn duō jiājù.,Cửa hàng này bán rất nhiều đồ nội thất.
假,jiǎ,giả,这个是假货。,Zhè ge shì jiǎ huò.,Đây là hàng giả.
价格,jià gé,giá cả,这个产品的价格很高。,Zhè ge chǎnpǐn de jiàgé hěn gāo.,Giá của sản phẩm này rất cao.
坚持,jiān chí,kiên trì,我每天坚持跑步。,Wǒ měitiān jiānchí pǎobù.,Tôi kiên trì chạy bộ mỗi ngày.
减肥,jiǎn féi,giảm béo,她正在努力减肥。,Tā zhèngzài nǔlì jiǎnféi.,Cô ấy đang cố gắng giảm cân.
减少,jiǎn shǎo,cắt giảm,我们应该减少浪费。,Wǒmen yīnggāi jiǎnshǎo làngfèi.,Chúng ta nên giảm lãng phí.
